"NAME","TOTAL","STEM_sum","Type","Value"
"Alabama",1021985,426936,"STEM",41.7751728254329
"Alaska",165581,84168,"STEM",50.8319191211552
"Arizona",1749742,787686,"STEM",45.0172654025565
"Arkansas",547388,229686,"STEM",41.9603644946546
"California",10564191,5365778,"STEM",50.7921335386685
"Colorado",1986339,970944,"STEM",48.881082232187
"Connecticut",1150403,528989,"STEM",45.9829294603717
"Delaware",269808,123397,"STEM",45.7351153412797
"District of Columbia",351033,189546,"STEM",53.9966327952073
"Florida",5610703,2464155,"STEM",43.9188279971333
"Georgia",2649131,1152857,"STEM",43.5183084566222
"Hawaii",390987,185782,"STEM",47.5161578262193
"Idaho",419898,190957,"STEM",45.4769967944596
"Illinois",3515546,1556962,"STEM",44.2879143097544
"Indiana",1420759,609475,"STEM",42.8978454473982
"Iowa",724377,299508,"STEM",41.346978161924
"Kansas",736485,305997,"STEM",41.5483003727164
"Kentucky",899652,380195,"STEM",42.2602295109665
"Louisiana",877778,371992,"STEM",42.3788247142216
"Maine",393756,180350,"STEM",45.8024766606731
"Maryland",1978732,1001026,"STEM",50.589266257381
"Massachusetts",2515772,1257004,"STEM",49.9649411790894
"Michigan",2402610,1090769,"STEM",45.39933655483
"Minnesota",1679922,753461,"STEM",44.8509514132204
"Mississippi",504681,203958,"STEM",40.4132511428011
"Missouri",1459441,611242,"STEM",41.8819260251014
"Montana",294350,138890,"STEM",47.1853235943605
"Nebraska",482017,197250,"STEM",40.9217932147621
"Nevada",642535,283292,"STEM",44.0897383021937
"New Hampshire",435887,211245,"STEM",48.4632485024789
"New Jersey",2983669,1391402,"STEM",46.6339262163464
"New Mexico",482373,229378,"STEM",47.5519981425163
"New York",6011352,2697730,"STEM",44.8772588928414
"North Carolina",2725268,1230492,"STEM",45.1512291635171
"North Dakota",179280,76004,"STEM",42.3940205265506
"Ohio",2707283,1189712,"STEM",43.9448701890419
"Oklahoma",788134,318064,"STEM",40.3565891079436
"Oregon",1202711,594898,"STEM",49.4630879737526
"Pennsylvania",3415186,1547708,"STEM",45.3184101832228
"Puerto Rico",722270,288721,"STEM",39.9741094050701
"Rhode Island",316027,142322,"STEM",45.0347596882545
"South Carolina",1215886,523182,"STEM",43.0288694828298
"South Dakota",203653,91263,"STEM",44.8129907244185
"Tennessee",1572050,658356,"STEM",41.8788206481982
"Texas",6820042,3115687,"STEM",45.6842787771688
"Utah",799742,356355,"STEM",44.5587451953255
"Vermont",218146,102422,"STEM",46.9511244762682
"Virginia",2689580,1318651,"STEM",49.0281382223247
"Washington",2300718,1199193,"STEM",52.1225547850714
"West Virginia",319550,137233,"STEM",42.9457048975121
"Wisconsin",1464136,651700,"STEM",44.5108924307578
"Wyoming",128794,60063,"STEM",46.6349364100812
"Alabama",1021985,426936,"non_STEM",58.2248271745671
"Alaska",165581,84168,"non_STEM",49.1680808788448
"Arizona",1749742,787686,"non_STEM",54.9827345974435
"Arkansas",547388,229686,"non_STEM",58.0396355053454
"California",10564191,5365778,"non_STEM",49.2078664613315
"Colorado",1986339,970944,"non_STEM",51.118917767813
"Connecticut",1150403,528989,"non_STEM",54.0170705396283
"Delaware",269808,123397,"non_STEM",54.2648846587203
"District of Columbia",351033,189546,"non_STEM",46.0033672047927
"Florida",5610703,2464155,"non_STEM",56.0811720028667
"Georgia",2649131,1152857,"non_STEM",56.4816915433778
"Hawaii",390987,185782,"non_STEM",52.4838421737807
"Idaho",419898,190957,"non_STEM",54.5230032055404
"Illinois",3515546,1556962,"non_STEM",55.7120856902456
"Indiana",1420759,609475,"non_STEM",57.1021545526018
"Iowa",724377,299508,"non_STEM",58.653021838076
"Kansas",736485,305997,"non_STEM",58.4516996272836
"Kentucky",899652,380195,"non_STEM",57.7397704890335
"Louisiana",877778,371992,"non_STEM",57.6211752857784
"Maine",393756,180350,"non_STEM",54.1975233393269
"Maryland",1978732,1001026,"non_STEM",49.410733742619
"Massachusetts",2515772,1257004,"non_STEM",50.0350588209106
"Michigan",2402610,1090769,"non_STEM",54.60066344517
"Minnesota",1679922,753461,"non_STEM",55.1490485867796
"Mississippi",504681,203958,"non_STEM",59.5867488571989
"Missouri",1459441,611242,"non_STEM",58.1180739748986
"Montana",294350,138890,"non_STEM",52.8146764056395
"Nebraska",482017,197250,"non_STEM",59.0782067852379
"Nevada",642535,283292,"non_STEM",55.9102616978063
"New Hampshire",435887,211245,"non_STEM",51.5367514975211
"New Jersey",2983669,1391402,"non_STEM",53.3660737836536
"New Mexico",482373,229378,"non_STEM",52.4480018574837
"New York",6011352,2697730,"non_STEM",55.1227411071586
"North Carolina",2725268,1230492,"non_STEM",54.8487708364829
"North Dakota",179280,76004,"non_STEM",57.6059794734494
"Ohio",2707283,1189712,"non_STEM",56.0551298109581
"Oklahoma",788134,318064,"non_STEM",59.6434108920564
"Oregon",1202711,594898,"non_STEM",50.5369120262474
"Pennsylvania",3415186,1547708,"non_STEM",54.6815898167772
"Puerto Rico",722270,288721,"non_STEM",60.0258905949299
"Rhode Island",316027,142322,"non_STEM",54.9652403117455
"South Carolina",1215886,523182,"non_STEM",56.9711305171702
"South Dakota",203653,91263,"non_STEM",55.1870092755815
"Tennessee",1572050,658356,"non_STEM",58.1211793518018
"Texas",6820042,3115687,"non_STEM",54.3157212228312
"Utah",799742,356355,"non_STEM",55.4412548046745
"Vermont",218146,102422,"non_STEM",53.0488755237318
"Virginia",2689580,1318651,"non_STEM",50.9718617776753
"Washington",2300718,1199193,"non_STEM",47.8774452149286
"West Virginia",319550,137233,"non_STEM",57.0542951024879
"Wisconsin",1464136,651700,"non_STEM",55.4891075692422
"Wyoming",128794,60063,"non_STEM",53.3650635899188
